DATE,PRODUCTS_NAME,CATEGORIES_NAME,FAMILIES_NAME,HOUR,DAYOFWEEK,NB_PRODUCTS,NB_CATEGORIES,NB_FAMILIES,910f14c0-a097-11e7-a71a-59d0cc270698,beaaf430-a097-11e7-a71a-59d0cc270698,ca268f40-a097-11e7-a71a-59d0cc270698,d3b46410-a097-11e7-a71a-59d0cc270698,db823960-a097-11e7-a71a-59d0cc270698,e74b7f40-a097-11e7-a71a-59d0cc270698,f45ad9b0-a097-11e7-a71a-59d0cc270698,05ed4b40-a098-11e7-a71a-59d0cc270698,121022d0-a098-11e7-a71a-59d0cc270698,2c6b9290-a098-11e7-a71a-59d0cc270698,32b40060-a098-11e7-a71a-59d0cc270698,37e64340-a098-11e7-a71a-59d0cc270698
Thursday 15/03/2018 17:17:16,Escalope viennoise|Farce|Lard|Pomme|Tomate|Persil|Parmesan,Traiteur|Charcuterie|Charcuterie|Fruits|Fruits|Herbes aromatiques|Fromages,Épicerie salée|Viandes|Viandes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Produits laitiers,17,4,7,5,4,2,1,0,3,0,1,0,0,0,0,0,0
Wednesday 14/03/2018 09:50:24,Carottes|Epinards|Persil|Steak haché|Fromage de chèvre|Fromage râpé|Eau|Sirop de menthe|Jus de pomme|Jus d'orange|Vinaigrette|Brioche|Confiture,Légumes|Légumes|Herbes aromatiques|Boucherie|Fromages|Fromages|Eau|Jus de fruits et sodas|Jus de fruits et sodas|Jus de fruits et sodas|Assaisonnements et condiments|Viennoiseries|Petit déjeuner,Fruits et légumes|Fruits et légumes|Fruits et légumes|Viandes|Produits laitiers|Produits laitiers|Boissons|Boissons|Boissons|Boissons|Épicerie salée|Épicerie sucrée|Épicerie sucrée,9,3,13,9,6,1,2,0,3,0,1,0,0,4,0,2,0
Saturday 10/03/2018 10:42:29,Courgette|Champignons|Epinards|Carottes|Persil|Bananes|Saumon fumé|Reblochon|Fromage bleu|Gnocchi|Pâte feuilletée|Yaourts|Lait|Beurre|Lardons fumés|Bières|Pâtes alimentaires|Gâteaux,Légumes|Légumes|Légumes|Légumes|Herbes aromatiques|Fruits|Produits préparés de la mer|Fromages|Fromages|Traiteur|Pains|Crèmerie|Laitages et oeufs|Crèmerie|Charcuterie|Bières et vins|Pates et riz|Gâteaux,Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Produits de la mer|Produits laitiers|Produits laitiers|Épicerie salée|Épicerie salée|Produits laitiers|Produits laitiers|Produits laitiers|Viandes|Boissons|Épicerie salée|Épicerie sucrée,10,6,18,13,7,1,5,1,6,0,3,0,0,1,0,1,0
Tuesday 06/03/2018 19:48:47,Ananas|Bananes|Kiwi|Pomme,Fruits|Fruits|Fruits|Fruits,Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes,19,2,4,1,1,0,0,0,4,0,0,0,0,0,0,0,0
Monday 05/03/2018 17:19:03,Persil|Champignons|Bières|Beurre|Cordon bleu|Jus de pomme|Bacon|Viande de porc|Fromage frais|Pain de mie|Confiture|Gâteaux|Produit vaisselle,Herbes aromatiques|Légumes|Bières et vins|Crèmerie|Traiteur|Jus de fruits et sodas|Charcuterie|Boucherie|Fromages|Pains|Petit déjeuner|Gâteaux|Lavage,Fruits et légumes|Fruits et légumes|Boissons|Produits laitiers|Épicerie salée|Boissons|Viandes|Viandes|Produits laitiers|Épicerie salée|Épicerie sucrée|Épicerie sucrée|Produits d'entretien,17,1,13,13,7,2,2,0,2,1,2,0,0,2,0,2,0
Monday 26/02/2018 17:39:12,Persil|Bananes|Champignons|Betterave|Steak haché|Viande de porc|Yaourts chocolat|Yaourts nature|Yaourts caramel|Jus de pomme|Jus de fruits|Jus d'orange|Pâte feuilletée|Thon en conserve|Gâteaux|Brioche|Dentifrice|Sopalin|Disques coton|Sac poubelle|Pain de mie,Herbes aromatiques|Fruits|Légumes|Légumes|Boucherie|Boucherie|Crèmerie|Crèmerie|Crèmerie|Jus de fruits et sodas|Jus de fruits et sodas|Jus de fruits et sodas|Pains|Conserves salées|Gâteaux|Viennoiseries|Soin du corps|Accessoires d'entretien|Soin du corps|Accessoires d'entretien|Pains,Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Viandes|Viandes|Produits laitiers|Produits laitiers|Produits laitiers|Boissons|Boissons|Boissons|Épicerie salée|Épicerie salée|Épicerie sucrée|Épicerie sucrée|Hygiène et beauté|Produits d'entretien|Hygiène et beauté|Produits d'entretien|Épicerie salée,17,1,21,12,8,2,3,0,4,2,3,0,2,3,0,2,0
Saturday 24/02/2018 10:56:23,Saucisses|Boudin blanc|Cordon bleu|Lardons fumés|Epinards|Carottes,Charcuterie|Charcuterie|Traiteur|Charcuterie|Légumes|Légumes,Viandes|Viandes|Épicerie salée|Viandes|Fruits et légumes|Fruits et légumes,10,6,6,3,3,3,0,0,2,0,1,0,0,0,0,0,0
Saturday 17/02/2018 16:50:47,Steak haché|Orange|Epinards|Brocoli|Carottes,Boucherie|Fruits|Légumes|Légumes|Légumes,Viandes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes,16,6,5,3,2,1,0,0,4,0,0,0,0,0,0,0,0
Saturday 17/02/2018 15:33:25,Pommes de terre|Carottes|Champignons|Bananes|Fromage de chèvre|Fromage râpé|Yaourts|Oeufs|Crème fraîche|Beurre|Pâte feuilletée|Pâte brisée|Gnocchi|Jambon cru|Saumon fumé|Jus de pomme|Jus d'orange|Litière pour chats|Nutella|Céréales|Confiture|Pâtes alimentaires|Gâteaux|Sauce tomate|Savon liquide,Légumes|Légumes|Légumes|Fruits|Fromages|Fromages|Crèmerie|Laitages et oeufs|Crèmerie|Crèmerie|Pains|Pains|Traiteur|Charcuterie|Produits préparés de la mer|Jus de fruits et sodas|Jus de fruits et sodas|Soins pour animaux|Petit déjeuner|Petit déjeuner|Petit déjeuner|Pates et riz|Gâteaux|Assaisonnements et condiments|Soin du corps,Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Produits laitiers|Produits laitiers|Produits laitiers|Produits laitiers|Produits laitiers|Produits laitiers|Épicerie salée|Épicerie salée|Épicerie salée|Viandes|Produits de la mer|Boissons|Boissons|Animaux|Épicerie sucrée|Épicerie sucrée|Épicerie sucrée|Épicerie salée|Épicerie sucrée|Épicerie salée|Hygiène et beauté,15,6,25,16,9,1,6,1,4,0,5,0,1,2,1,4,0
Saturday 17/02/2018 14:32:58,Roulé au fromage|Thon en conserve,Traiteur|Conserves salées,Épicerie salée|Épicerie salée,14,6,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0
